w,3,0,0,85,96,97,98,135,200,184,20,20
#####################........#........###.##.###.#.###.##.###o##.###.#.###.##o###.................###.##.#.#####.#.##.###....#...#...#....######.###.#.###.#########.#.......#.#####.......##F##........####.#.#GHJ#.#.#########.#.#####.#.######.................###.##.###.#.###.##.###o.#.....P.....#.o####.#.#.#####.#.#.####....#...#...#....###.######.#.######.###.................######################
0,1,-1,1,1,.
1,1,-1,2,1,.
2,1,-1,3,1,.
3,1,-1,4,1,.
4,1,-1,5,1,.
5,1,-1,6,1,.
6,1,-1,7,1,.
7,1,-1,8,1,.
8,1,-1,10,1,.
9,1,-1,11,1,.
10,1,-1,12,1,.
11,1,-1,13,1,.
12,1,-1,14,1,.
13,1,-1,15,1,.
14,1,-1,16,1,.
15,1,-1,17,1,.
16,1,-1,1,2,.
17,1,-1,4,2,.
18,1,-1,8,2,.
19,1,-1,10,2,.
20,1,-1,14,2,.
21,1,-1,17,2,.
22,1,-1,1,3,o
23,1,-1,4,3,.
24,1,-1,8,3,.
25,1,-1,10,3,.
26,1,-1,14,3,.
27,1,-1,17,3,o
28,1,-1,1,4,.
29,1,-1,2,4,.
30,1,-1,3,4,.
31,1,-1,4,4,.
32,1,-1,5,4,.
33,1,-1,6,4,.
34,1,-1,7,4,.
35,1,-1,8,4,.
36,1,-1,9,4,.
37,1,-1,10,4,.
38,1,-1,11,4,.
39,1,-1,12,4,.
40,1,-1,13,4,.
41,1,-1,14,4,.
42,1,-1,15,4,.
43,1,-1,16,4,.
44,1,-1,17,4,.
45,1,-1,1,5,.
46,1,-1,4,5,.
47,1,-1,6,5,.
48,1,-1,12,5,.
49,1,-1,14,5,.
50,1,-1,17,5,.
51,1,-1,1,6,.
52,1,-1,2,6,.
53,1,-1,3,6,.
54,1,-1,4,6,.
55,1,-1,6,6,.
56,1,-1,7,6,.
57,1,-1,8,6,.
58,1,-1,10,6,.
59,1,-1,11,6,.
60,1,-1,12,6,.
61,1,-1,14,6,.
62,1,-1,15,6,.
63,1,-1,16,6,.
64,1,-1,17,6,.
65,1,-1,4,7,.
66,1,-1,8,7,.
67,1,-1,10,7,.
68,1,-1,14,7,.
69,1,-1,4,8,.
70,1,-1,6,8,.
71,1,-1,7,8,.
72,1,-1,8,8,.
73,1,-1,9,8,.
74,1,-1,10,8,.
75,1,-1,11,8,.
76,1,-1,12,8,.
77,1,-1,14,8,.
78,1,-1,0,9,.
79,1,-1,1,9,.
80,1,-1,2,9,.
81,1,-1,3,9,.
82,1,-1,4,9,.
83,1,-1,5,9,.
84,1,-1,6,9,.
85,1,10,9,9,F
86,1,-1,12,9,.
87,1,-1,13,9,.
88,1,-1,14,9,.
89,1,-1,15,9,.
90,1,-1,16,9,.
91,1,-1,17,9,.
92,1,-1,18,9,.
93,1,-1,19,9,.
94,1,-1,4,10,.
95,1,-1,6,10,.
96,1,10,8,10,G
97,1,10,9,10,H
98,1,10,10,10,J
99,1,-1,12,10,.
100,1,-1,14,10,.
101,1,-1,4,11,.
102,1,-1,6,11,.
103,1,-1,12,11,.
104,1,-1,14,11,.
105,1,-1,1,12,.
106,1,-1,2,12,.
107,1,-1,3,12,.
108,1,-1,4,12,.
109,1,-1,5,12,.
110,1,-1,6,12,.
111,1,-1,7,12,.
112,1,-1,8,12,.
113,1,-1,9,12,.
114,1,-1,10,12,.
115,1,-1,11,12,.
116,1,-1,12,12,.
117,1,-1,13,12,.
118,1,-1,14,12,.
119,1,-1,15,12,.
120,1,-1,16,12,.
121,1,-1,17,12,.
122,1,-1,1,13,.
123,1,-1,4,13,.
124,1,-1,8,13,.
125,1,-1,10,13,.
126,1,-1,14,13,.
127,1,-1,17,13,.
128,1,-1,1,14,o
129,1,-1,2,14,.
130,1,-1,4,14,.
131,1,-1,5,14,.
132,1,-1,6,14,.
133,1,-1,7,14,.
134,1,-1,8,14,.
135,1,-1,9,14,P
136,1,-1,10,14,.
137,1,-1,11,14,.
138,1,-1,12,14,.
139,1,-1,13,14,.
140,1,-1,14,14,.
141,1,-1,16,14,.
142,1,-1,17,14,o
143,1,-1,2,15,.
144,1,-1,4,15,.
145,1,-1,6,15,.
146,1,-1,12,15,.
147,1,-1,14,15,.
148,1,-1,16,15,.
149,1,-1,1,16,.
150,1,-1,2,16,.
151,1,-1,3,16,.
152,1,-1,4,16,.
153,1,-1,6,16,.
154,1,-1,7,16,.
155,1,-1,8,16,.
156,1,-1,10,16,.
157,1,-1,11,16,.
158,1,-1,12,16,.
159,1,-1,14,16,.
160,1,-1,15,16,.
161,1,-1,16,16,.
162,1,-1,17,16,.
163,1,-1,1,17,.
164,1,-1,8,17,.
165,1,-1,10,17,.
166,1,-1,17,17,.
167,1,-1,1,18,.
168,1,-1,2,18,.
169,1,-1,3,18,.
170,1,-1,4,18,.
171,1,-1,5,18,.
172,1,-1,6,18,.
173,1,-1,7,18,.
174,1,-1,8,18,.
175,1,-1,9,18,.
176,1,-1,10,18,.
177,1,-1,11,18,.
178,1,-1,12,18,.
179,1,-1,13,18,.
180,1,-1,14,18,.
181,1,-1,15,18,.
182,1,-1,16,18,.
183,1,-1,17,18,.
0
